epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.049,0,100.958,0,0,0,0,0,0,167.088,0,5.001e-05,5.001e-05,5.001e-05
2,27.7528,0,99.3573,0,0,0,0,0,0,167.438,0,7.81823e-05,7.81823e-05,7.81823e-05
3,41.1721,0,97.7749,0,0,0,0,0,0,167.474,0,6.23458e-05,6.23458e-05,6.23458e-05
