epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7537,0,93.8365,0,0,0,0,0,0,166.828,0,5.001e-05,5.001e-05,5.001e-05
2,29.3878,0,92.1398,0,0,0,0,0,0,166.844,0,8.78092e-05,8.78092e-05,8.78092e-05
3,42.9564,0,90.3309,0,0,0,0,0,0,166.668,0,9.26019e-05,9.26019e-05,9.26019e-05
4,56.4019,0,88.9996,0,0,0,0,0,0,166.376,0,6.43879e-05,6.43879e-05,6.43879e-05
