epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.15773,0,39.6272,0,0,0,0,0,0,76.9302,0,5.001e-05,5.001e-05,5.001e-05
2,13.3047,0,38.9548,0,0,0,0,0,0,76.9792,0,9.74362e-05,9.74362e-05,9.74362e-05
3,19.5245,0,38.1851,0,0,0,0,0,0,76.8872,0,0.000122858,0.000122858,0.000122858
4,25.9565,0,37.5126,0,0,0,0,0,0,76.6634,0,0.000126275,0.000126275,0.000126275
5,31.941,0,36.9174,0,0,0,0,0,0,76.5198,0,0.000107688,0.000107688,0.000107688
6,38.4338,0,36.7119,0,0,0,0,0,0,76.3719,0,6.70967e-05,6.70967e-05,6.70967e-05
