epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.7343,0,39.7124,0,0,0,0,0,0,76.9307,0,5.001e-05,5.001e-05,5.001e-05
2,14.1585,0,38.9431,0,0,0,0,0,0,76.9664,0,0.000105138,0.000105138,0.000105138
3,20.8593,0,38.0841,0,0,0,0,0,0,76.8556,0,0.000147063,0.000147063,0.000147063
4,27.0485,0,37.2459,0,0,0,0,0,0,76.5128,0,0.000175785,0.000175785,0.000175785
5,33.8293,0,36.2668,0,0,0,0,0,0,76.2632,0,0.000191305,0.000191305,0.000191305
6,39.8413,0,35.6919,0,0,0,0,0,0,75.9887,0,0.000193622,0.000193622,0.000193622
7,45.9425,0,35.1213,0,0,0,0,0,0,75.7259,0,0.000182737,0.000182737,0.000182737
8,52.2133,0,34.5149,0,0,0,0,0,0,75.4419,0,0.000158648,0.000158648,0.000158648
